---------- LEXICON ----------

Tipo de dicionário: Tabela Hash com Endereçamento Aberto
Número de palavras: 19272
Tempo de execução: 599 ms
Quantidade de comparações: 2463287


Palaras ordenadas:

a - 120
a - 63
a - 11420
aaron - 355
aaronites - 1
aasbai - 1
abaddon - 2
abana - 1
abandoned - 4
abandoning - 2
abaomination - 1
abaran - 1
abarim - 4
abaron - 1
abase - 1
abasement - 1
abashed - 1
abated - 1
abated - 2
abateth - 2
abba - 3
abda - 2
abdeel - 1
abdemelech - 7
abdenago - 15
abdi - 3
abdias - 13
abdiel - 1
abdon - 8
abed - 2
abel - 6
abel - 11
abela - 5
abeldomum - 1
abelmahula - 1
abelmaim - 1
abelmehula - 1
abelmeula - 1
abenboen - 1
abes - 1
abesalom - 1
abesan - 1
abeson - 1
abessalom - 3
abgatha - 1
abhor - 14
abhorred - 11
abhorrest - 2
abhorreth - 6
abhors - 1
abi - 1
abia - 32
abialbon - 1
abiam - 7
abiasaph - 1
abiasaph - 3
abiathar - 33
abiathar - 1
abib - 1
abida - 2
abidan - 5
abide - 100
abideth - 25
abideth - 4
abiding - 6
abiding - 3
abiel - 3
abiezer - 3
abiezer - 4
abigabaon - 1
abigail - 18
abihaiel - 1
abihail - 5
abilina - 1
ability - 12
abimael - 2
abimelech - 22
abimelech - 36
abinadab - 13
abinoem - 4
abiram - 1
abiron - 11
abisag - 6
abisai - 25
abisue - 5
abisur - 2
abital - 2
abitob - 1
abiu - 13
abiud - 3
abject - 2
abjection - 3
able - 238
ablesatim - 1
abner - 61
aboard - 2
abobus - 2
abode - 6
abode - 79
abolish - 6
abolished - 12
abolisheth - 3
abolishing - 1
abominable - 3
abominable - 1
abominable - 28
abominate - 1
abomination - 1
abomination - 5
abomination - 48
abominations - 77
abortive - 1
abound - 49
abounded - 6
abounded - 7
aboundeth - 3
aboundeth - 4
abounding - 9
abounds - 1
about - 587
about - 180
above - 8
above - 263
above - 52
abraham - 252
abram - 56
abram - 3
abridge - 2
abridged - 4
abridging - 2
abridgment - 2
abroad - 6
abroad - 52
abroad - 15
absalom - 115
absence - 3
absent - 12
absent - 2
absolute - 1
absolute - 3
absolutely - 5
absolutely - 2
absolve - 1
absolves - 2
abstain - 11
abstaineth - 1
abstinence - 4
abstract - 1
abstracting - 3
absumat - 1
absurd - 1
abundance - 69
abundance - 12
abundant - 7
abundantly - 18
abundantly - 6
abuse - 24
abused - 10
abuses - 4
abuseth - 1
abusing - 1
abyss - 3
acan - 1
acbab - 1
accain - 1
accaron - 17
accaron - 5
accaronites - 1
accelerate - 1
accept - 23
acceptable - 39
acceptable - 13
acceptance - 1
acceptation - 2
accepted - 16
accepteth - 3
accepting - 2
acces - 3
access - 15
accessary - 1
accessed - 1
accessible - 2
accho - 1
accidents - 1
acclamation - 1
acclamations - 1
accommodated - 2
accommodates - 2
accomodated - 1
accompained - 1
accompanied - 7
accompanies - 1
accompany - 3
accompany - 3
accompanying - 2
accomplices - 2
accomplish - 1
accomplish - 23
accomplished - 49
accomplishing - 4
accomplishment - 2
accord - 18
accord - 10
accordance - 2
according - 1003
accordingly - 3
accos - 3
account - 29
account - 5
account - 30
accountable - 1
accounted - 5
accounted - 14
accounting - 1
accounts - 1
accronites - 1
accub - 8
accuracy - 1
accurate - 1
accurately - 1
accursed - 2
accursed - 6
accus - 1
accusation - 12
accusations - 1
accuse - 24
accused - 27
accused - 2
accuser - 3
accusers - 7
accuseth - 2
accusing - 5
accustomed - 20
achab - 102
achad - 1
achaia - 11
achaicus - 3
achan - 9
achar - 3
achaz - 46
achazib - 1
acheth - 2
achia - 2
achias - 3
achieved - 2
achievements - 2
achim - 2
achimaas - 15
achiman - 1
achimelech - 19
achimoth - 1
achinoam - 7
achior - 17
achis - 24
achisamech - 3
achitob - 16
achitophel - 22
achobor - 6
achor - 7
achsa - 1
achsaph - 2
achzib - 1
achziba - 1
acknowledge - 9
acknowledged - 8
acknowledges - 3
acknowledging - 1
acknowledging - 2
acknowledging - 2
acknowledgment - 1
acknowledgment - 1
acquaint - 2
acquaintance - 8
acquainted - 2
acquire - 3
acquired - 2
acquiring - 1
acquisition - 2
acquit - 2
acquitted - 2
acrabathane - 1
acre - 1
acres - 1
acron - 1
act - 1
act - 21
acted - 12
acteth - 1
acting - 4
action - 4
actions - 3
active - 5
acts - 98
actual - 1
acute - 1
ad - 12
ada - 9
adad - 11
adad - 2
adada - 1
adadremmon - 2
adaia - 6
adaias - 3
adali - 1
adalia - 1
adam - 28
adam - 1
adam - 29
adama - 7
adamant - 2
adami - 1
adan - 1
adapted - 1
adar - 17
adarezer - 21
adarsa - 1
adazer - 1
adbeel - 2
add - 58
addar - 1
addar - 1
added - 1
added - 38
addeth - 3
addeth - 1
addi - 1
addicted - 2
adding - 4
addition - 2
additional - 4
additions - 1
addo - 10
addon - 1
address - 3
addressed - 2
addresses - 1
adds - 4
addus - 1
adeodatus - 3
adhere - 6
adhere - 2
adhered - 3
adherence - 1
adherents - 2
adhereth - 1
adhering - 1
adiada - 1
adias - 1
adiel - 3
adin - 3
adina - 1
adino - 1
adithaim - 1
adjoining - 6
adjure - 7
adjure - 2
adjured - 8
adjuring - 2
adjutorium - 1
adli - 1
admatha - 1
administer - 2
administered - 3
administereth - 1
administering - 1
administration - 1
admirable - 8
admiration - 12
admire - 2
admired - 8
admirers - 1
admireth - 2
admiring - 3
admit - 3
admittance - 1
admitted - 8
admitting - 1
admonish - 14
admonished - 9
admonishes - 9
admonishest - 1
admonisheth - 2
admonishing - 6
admonition - 10
admonitions - 10
ado - 3
adom - 1
adommim - 1
adommin - 1
adon - 1
adonai - 5
adonia - 1
adonias - 27
adonibezec - 3
adonicam - 3
adoniram - 2
adonis - 2
adonisedec - 2
adopted - 7
adopteth - 1
adoption - 6
ador - 1
adoram - 2
adoration - 4
adoravit - 1
adore - 114
adored - 61
adored - 25
adorers - 1
adoreth - 4
adoring - 10
adorn - 11
adorned - 22
adorneth - 1
adorning - 5
adramelech - 3
adria - 1
adrumetum - 1
adullam - 1
adulterating - 2
adulterer - 3
adulterer - 4
adulterers - 11
adulteress - 4
adulteress - 4
adulteresses - 4
adulteries - 5
adulterous - 5
adultery - 46
aduram - 5
advance - 5
advanced - 25
advancedst - 1
advancement - 2
advanceth - 1
advancing - 1
advantage - 2
advantage - 9
advantaged - 1
advantages - 2
advantages - 2
adversaries - 10
adversaries - 22
adversary - 29
adverse - 1
