---------- LEXICON ----------

Tipo de dicionário: AVL
Número de palavras: 16382
Tempo de execução: 781 ms
Quantidade de comparações: 27643743
Quantidade de rotações: 12216


Palaras ordenadas:

a - 11603
aaron - 355
aaronites - 1
aasbai - 1
abaddon - 2
abana - 1
abandoned - 4
abandoning - 2
abaomination - 1
abaran - 1
abarim - 4
abaron - 1
abase - 1
abasement - 1
abashed - 1
abated - 3
abateth - 2
abba - 3
abda - 2
abdeel - 1
abdemelech - 7
abdenago - 15
abdi - 3
abdias - 13
abdiel - 1
abdon - 8
abed - 2
abel - 17
abela - 5
abeldomum - 1
abelmahula - 1
abelmaim - 1
abelmehula - 1
abelmeula - 1
abenboen - 1
abes - 1
abesalom - 1
abesan - 1
abeson - 1
abessalom - 3
abgatha - 1
abhor - 14
abhorred - 11
abhorrest - 2
abhorreth - 6
abhors - 1
abi - 1
abia - 32
abialbon - 1
abiam - 7
abiasaph - 4
abiathar - 34
abib - 1
abida - 2
abidan - 5
abide - 100
abideth - 29
abiding - 9
abiel - 3
abiezer - 7
abigabaon - 1
abigail - 18
abihaiel - 1
abihail - 5
abilina - 1
ability - 12
abimael - 2
abimelech - 58
abinadab - 13
abinoem - 4
abiram - 1
abiron - 11
abisag - 6
abisai - 25
abisue - 5
abisur - 2
abital - 2
abitob - 1
abiu - 13
abiud - 3
abject - 2
abjection - 3
able - 238
ablesatim - 1
abner - 61
aboard - 2
abobus - 2
abode - 85
abolish - 6
abolished - 12
abolisheth - 3
abolishing - 1
abominable - 32
abominate - 1
abomination - 54
abominations - 77
abortive - 1
abound - 49
abounded - 13
aboundeth - 7
abounding - 9
abounds - 1
about - 767
above - 323
abraham - 252
abram - 59
abridge - 2
abridged - 4
abridging - 2
abridgment - 2
abroad - 73
absalom - 115
absence - 3
absent - 14
absolute - 4
absolutely - 7
absolve - 1
absolves - 2
abstain - 11
abstaineth - 1
abstinence - 4
abstract - 1
abstracting - 3
absumat - 1
absurd - 1
abundance - 81
abundant - 7
abundantly - 24
abuse - 24
abused - 10
abuses - 4
abuseth - 1
abusing - 1
abyss - 3
acan - 1
acbab - 1
accain - 1
accaron - 22
accaronites - 1
accelerate - 1
accept - 23
acceptable - 52
acceptance - 1
acceptation - 2
accepted - 16
accepteth - 3
accepting - 2
acces - 3
access - 15
accessary - 1
accessed - 1
accessible - 2
accho - 1
accidents - 1
acclamation - 1
acclamations - 1
accommodated - 2
accommodates - 2
accomodated - 1
accompained - 1
accompanied - 7
accompanies - 1
accompany - 6
accompanying - 2
accomplices - 2
accomplish - 24
accomplished - 49
accomplishing - 4
accomplishment - 2
accord - 28
accordance - 2
according - 1003
accordingly - 3
accos - 3
account - 64
accountable - 1
accounted - 19
accounting - 1
accounts - 1
accronites - 1
accub - 8
accuracy - 1
accurate - 1
accurately - 1
accursed - 8
accus - 1
accusation - 12
accusations - 1
