---------- LEXICON ----------

Tipo de dicionário: Tabela Hash com Endereçamento Aberto
Número de palavras: 10033
Tempo de execução: 212 ms
Quantidade de comparações: 969173


Palaras ordenadas:

a - 6576
à - 1
a-barrel - 5
a-bushel - 3
a-day - 12
a-florin - 1
a-foot - 2
a-gallon - 1
a-half - 24
a-head - 6
a-hunting - 1
a-month - 6
a-peck - 1
a-piece - 1
a-pound - 5
a-quarter - 4
a-sheet - 1
a-ton - 3
a-week - 11
a-year - 67
abandon - 7
abandoned - 9
abandoning - 2
abasement - 1
abassides - 1
abated - 2
abatement - 9
abating - 1
abbacies - 2
abbacy - 1
abbe - 1
abbé - 2
abbeville - 1
abbot - 3
abhor - 1
abhorrence - 6
abide - 2
abilities - 30
ability - 26
able - 107
able-bodied - 2
ablest - 3
abode - 3
abolish - 2
abolished - 9
abolishing - 2
abolition - 3
abound - 8
abounded - 2
abounding - 5
abounds - 5
about - 278
above - 246
above-mentioned - 3
abovementioned - 1
abraham - 1
abridge - 8
abridged - 3
abridges - 1
abridging - 1
abroad - 64
absence - 1
absentee - 1
absentees - 2
absolute - 29
absolutely - 6
absorb - 12
absorbed - 2
absorbing - 2
absorbs - 2
abstain - 1
abstract - 1
abstracted - 1
abstruse - 1
absurd - 37
absurdity - 8
absurdly - 3
abundance - 36
abundant - 24
abundantly - 9
abuse - 11
abused - 5
abuses - 8
abusing - 2
abusive - 2
abyssinia - 1
academic - 1
academy - 2
acapulco - 3
accelerated - 1
accelerating - 2
accept - 20
accepted - 9
accepting - 4
acceptor - 3
accepts - 2
access - 10
accessed - 1
accessible - 1
accession - 5
accessory - 1
accident - 7
accidental - 12
accidentally - 1
accidents - 18
accommodate - 8
accommodated - 8
accommodation - 9
accompanied - 9
accompanies - 3
accompany - 4
accomplished - 2
accomplishment - 1
accomplishments - 4
accord - 28
accordance - 2
according - 272
accordingly - 130
account - 271
accountable - 4
accountant - 1
accountants - 1
accounted - 13
accounts - 62
accumulate - 15
accumulated - 39
accumulates - 2
accumulating - 4
accumulation - 34
accuracy - 7
accurate - 14
accurately - 2
accusation - 2
accused - 6
accusing - 1
accustomed - 28
achieving - 1
achilles - 1
acknowledge - 6
acknowledged - 29
acknowledges - 1
acknowledging - 1
acknowledgment - 5
acorn - 1
acquaint - 1
acquainted - 10
acquire - 40
acquired - 56
acquirer - 1
acquires - 5
acquiring - 21
acquisition - 18
acquisitions - 9
acquittance - 1
acquitted - 1
acre - 12
acres - 3
across - 2
act - 105
acted - 11
acting - 3
action - 8
actions - 8
active - 20
activity - 4
actor - 1
actors - 1
acts - 13
actual - 45
actually - 50
actually-existing - 1
acute - 1
acuteness - 2
ad - 1
adam - 2
adapted - 4
add - 20
added - 22
adding - 2
addition - 19
additional - 72
additions - 2
address - 7
addressed - 2
addresses - 1
adds - 30
adduced - 2
adieu - 1
adjoining - 1
adjudged - 2
adjust - 1
adjusted - 2
adjusting - 1
adjusts - 1
administer - 1
administered - 2
administering - 1
administration - 77
administrator - 1
admirable - 2
admiral - 1
admiralty - 1
admiration - 7
admired - 1
admirers - 2
admission - 10
admit - 29
admits - 14
admitted - 13
admitting - 2
adopt - 3
adopted - 20
adopting - 3
adopts - 1
adorned - 1
adorning - 2
adriatic - 1
adulterated - 4
adulteration - 3
adulterations - 1
adulterine - 1
advance - 31
advanced - 105
advancement - 1
advances - 46
advancing - 35
advantage - 152
advantageous - 143
advantageously - 7
advantages - 60
adventure - 8
adventurer - 3
adventurers - 28
adventures - 4
adventurous - 1
adversaries - 7
adversity - 1
advice - 2
advisers - 1
aegean - 1
aeolians - 1
aesop - 1
affair - 1
affairs - 31
affect - 34
affectation - 1
affected - 46
affection - 7
affectionate - 1
affections - 2
affects - 5
affinity - 1
affirm - 2
affix - 1
affixed - 3
afflicted - 3
affluence - 6
affluent - 2
afford - 204
afforded - 41
affording - 14
affords - 56
aforesaid - 5
afraid - 14
africa - 25
african - 11
after - 252
afterwards - 104
again - 76
against - 136
agamemnon - 1
age - 37
agen - 1
agency - 3
agent - 1
agents - 19
ages - 38
aggravate - 5
aggravated - 3
aggravates - 2
aggravation - 3
aggregate - 2
aggrieved - 2
agility - 4
agio - 16
ago - 44
agrarian - 2
agree - 19
agreeable - 27
agreeableness - 3
agreed - 11
agreeing - 2
agreement - 24
agreements - 2
agrees - 3
agricultural - 5
agriculture - 128
agrigentum - 1
agrippina - 1
aid - 7
aides - 3
aids - 2
aimed - 1
aiming - 1
aims - 3
air - 5
airs - 1
aix - 1
aix-la-chapelle - 3
alarm - 1
alarmed - 3
alarming - 2
alcavala - 2
ale - 28
ale-house - 2
ale-houses - 3
alehouse - 4
alehouses - 2
alexander - 4
ali - 1
alien - 6
alienate - 3
alienated - 1
alienating - 2
alienation - 8
aliens - 4
alike - 3
alive - 6
alkaline - 1
all - 1850
all-powerful - 1
allegations - 1
allege - 1
alleged - 2
allegiance - 1
alleging - 1
alleviate - 4
alleviated - 3
alleviating - 2
alliance - 2
allied - 1
allies - 5
alligator - 1
allodial - 1
allodially - 2
allotment - 1
allotted - 5
allow - 21
allowance - 11
allowances - 5
allowed - 100
allowing - 13
allows - 5
alloy - 5
allure - 1
ally - 4
almagro - 1
almost - 328
alone - 58
along - 21
aloud - 1
alps - 1
already - 75
alsace - 1
also - 14
alter - 6
alteration - 14
alterations - 11
altered - 12
altering - 4
alternate - 1
alternately - 2
although - 2
altogether - 298
alum - 1
always - 563
am - 19
amassed - 3
amassing - 3
ambassador - 6
ambassadors - 1
ambiguity - 3
ambiguously - 1
ambition - 15
ambitious - 2
ameliorations - 1
amenable - 1
amends - 1
amercement - 3
america - 200
american - 51
americans - 6
amidst - 5
amilcar - 1
ammunition - 2
among - 245
amongst - 2
amount - 127
amounted - 77
amounting - 11
amounts - 25
ample - 2
amply - 1
amsterdam - 29
amuse - 2
amused - 2
amusement - 5
amusements - 9
amusing - 2
an - 855
analogy - 1
anarchy - 2
ancestors - 10
ancient - 224
anciently - 14
ancients - 3
and - 10298
and-twenty - 1
anderson - 3
angola - 2
animal - 18
animals - 15
animate - 8
animated - 3
animates - 2
animosity - 13
annals - 1
anne - 11
annex - 1
annexed - 5
annexing - 1
annibal - 8
annihilate - 3
annihilated - 4
announce - 1
announced - 1
annual - 320
annually - 134
annuelles - 1
annuitant - 2
annuitants - 1
annuities - 43
annuity - 33
another - 324
answer - 12
answerable - 2
answered - 6
answering - 21
antecedent - 4
