---------- LEXICON ----------

Tipo de dicionário: Rubro-Negra
Número de palavras: 10064
Tempo de execução: 99 ms
Quantidade de comparações: 2415510
Quantidade de rotações: 6211


Palaras ordenadas:

a - 2573
á - 262
ab - 1
abafadas - 1
abafado - 1
abafando - 1
abafava - 1
abahuladas - 1
abaixo - 6
abaixou - 1
abalo - 2
abalou - 1
abanando - 1
abanava - 3
abandone - 1
abane - 3
abanou - 3
abarcar - 1
abatida - 2
abatido - 3
abatimento - 1
abel - 1
abençoa - 1
abençoar - 1
aberração - 1
aberta - 1
abertas - 1
aberto - 4
abertos - 5
abide - 1
abobada - 1
abolir - 1
abominação - 1
abominações - 1
abominaveis - 1
aborrece - 1
aborrecem - 1
aborrecer - 3
aborrecer-me - 1
aborreciamos - 1
aborrecida - 3
aborrecido - 5
aborrecimento - 2
aborrecivel - 2
abortado - 1
abotoada - 1
abotoado - 1
abotoe - 1
about - 8
abra - 1
abraçados - 1
abraçal-o - 2
abraçará - 1
abraço - 1
abraços - 1
abraçou-me - 3
abrahão - 1
abre - 2
abreviado - 1
abri - 2
abria - 3
abria-me - 2
abria-se - 1
abríamos - 1
abrigado - 1
abril - 2
abril-o - 1
abril-os - 1
abrimos - 1
abrindo - 2
abrir - 6
abrira - 2
abrissemos - 1
abriu - 5
abriu-nos - 1
abrochado - 1
abrochou - 1
absoluta - 1
absolutamente - 5
absolve - 1
absolvição - 3
absolvido - 1
abusa - 1
abusava - 1
abuso - 1
abysmo - 1
acaba - 2
acabada - 1
acabadas - 1
acabado - 3
acabam - 2
acabámos - 1
acabando - 3
acabar - 19
acabaram - 2
acabaria - 1
acabas - 1
acabasse - 5
acabassem - 2
acabava - 17
acabavam - 1
acabei - 7
acabemos - 1
acabo - 2
acabou - 28
academia - 1
acalcanhados - 1
acanhada - 2
acanhado - 1
acanhamento - 2
acaso - 11
acção - 9
acceita - 1
acceital-a - 1
acceital-o - 1
acceitámos - 1
acceitando - 2
acceitar - 3
acceitasse - 1
acceitei - 5
acceito - 6
acceitou - 3
accender - 6
accendesse - 1
accendeu - 4
accendi - 1
accendia - 1
accendou - 1
accentuando - 2
accentuar - 1
accentuou - 1
accepção - 1
accept - 1
accepted - 2
accepting - 1
accesas - 2
access - 10
accessed - 1
accessible - 1
accessoriamente - 1
accidente - 1
accionados - 1
acclamação - 1
acções - 4
accommodava - 1
accordado - 2
accordance - 2
accordando - 1
accordar - 1
accordasse - 1
accordava - 1
accordei - 3
accordo - 4
accresce - 1
accrescentando - 1
accrescentar - 1
accrescentasse - 1
accrescentava - 1
accrescentei - 1
accrescentou - 7
accressimo - 1
accusada - 1
accusou - 1
acena - 1
aceno - 1
ácerca - 1
acertado - 1
acha - 10
achacada - 1
achado - 6
achados - 1
achal-a - 1
achal-o - 1
acham - 1
achando - 2
achar - 14
achára - 2
acharam - 1
acharam-lhe - 1
acharás - 1
achardes - 1
achares - 1
acharia - 3
achas - 2
achasse - 5
achaste - 1
achatando - 1
achava - 15
achava-a - 1
achava-lhes - 1
achava-me - 1
