---------- LEXICON ----------

Tipo de dicionário: Tabela Hash com Encadeamento
Número de palavras: 11374
Tempo de execução: 65 ms
Quantidade de comparações: 52978


Palaras ordenadas:

a - 2600
á - 287
abafadiço - 1
abafados - 1
abaixei-as - 1
abaixei-me - 1
abaixo - 11
abalado - 1
abalo - 3
abalroam - 1
abalroe - 1
abanando - 3
abanava - 1
abanei - 1
abanou - 6
abas - 1
abastada - 1
abastado - 4
abastança - 1
abate - 1
abatia - 1
abatida - 2
abatido - 4
abatimento - 2
abençoadas - 1
abençoado - 1
abençoar - 1
abençoarão - 1
abençoava - 1
abençoei - 1
aberrações - 1
aberta - 2
aberto - 4
abide - 1
abjecção - 2
abjecto - 1
abobora - 2
aborreça - 2
aborrece - 1
aborrecer-se - 1
aborreceu - 1
aborreciam-lhe - 1
aborrecida - 1
aborrecido - 6
aborrecimento - 3
abotoado - 1
abotoou-se - 1
about - 8
abraçal-a - 1
abraçar - 1
abraçara - 1
abraçavam - 1
abraço - 5
abraços - 2
abraçou-me - 3
abraçou-se - 1
abrahão - 2
abre - 3
abri - 4
abri-a - 1
abria - 1
abria-as - 2
abrigo - 1
abril-a - 1
abrir - 9
abrir-me - 1
abriria - 1
abriu - 5
abriu-lhe - 1
abriu-lhes - 1
abriu-m - 1
abriu-o - 1
abro - 1
absoluta - 2
absolutamente - 5
absoluto - 2
absorpção - 2
absorver - 1
absorvia-se - 1
abstrusas - 1
abstrusos - 1
absurda - 6
absurdo - 1
abusava - 1
abuso - 1
abusos - 1
abysmo - 4
acaba - 1
acabada - 3
acabado - 1
acabal-o - 1
acabam - 1
acabámos - 1
acabando - 1
acabar - 16
acabara - 1
acabarei - 1
acabaria - 4
acabava - 5
acabavam - 1
acabei - 1
acabemos - 2
acabo - 3
acabou - 7
acabrunhado - 1
acabrunhava - 1
academico - 1
acalentava - 1
acanhada - 3
acanhado - 3
acanhamento - 2
acariciando-a - 1
acariciou-a - 1
acarinhou-o - 1
acaso - 6
acção - 10
acceiteis - 1
accendi - 1
accentuando - 1
accentuar - 1
accept - 1
accepted - 2
accepting - 1
access - 10
accessed - 1
accessible - 1
accesso - 4
accessos - 1
acclamações - 2
acclives - 1
acções - 3
accommoda - 1
accommoda-te - 1
accommodou-se - 1
accordance - 2
accordo - 1
accreditai-o - 1
accresce - 4
accrescentando - 4
accrescentaram-lhe - 1
accrescentarei - 1
accrescentava - 2
accrescentei - 4
accrescento-lhe - 1
accrescentou - 6
accrescia - 1
accrescimo - 3
accummular - 1
accumulo - 1
accusa - 1
accusal-o - 1
accusou-me - 1
aceiadinho - 1
aceiado - 1
aceio - 1
aceita - 2
aceitar - 9
aceitaria - 1
aceitas - 2
aceitava - 3
aceite - 1
aceitei - 2
aceitei-os - 1
aceito - 2
aceitou - 1
aceitou-as - 1
acenar-te - 1
acender - 1
acepipe - 1
acepipes - 2
acerbo - 1
acerca - 1
ácerca - 2
acercaram-se - 1
acerto - 1
acertou - 1
acha - 3
acha-se - 1
achado - 8
achados - 1
achal-o - 1
achal-os - 1
acham - 1
achámos - 1
achando-a - 1
achando-lhe - 1
achar - 10
achar-lhe - 1
achar-me - 1
achara - 2
achará - 2
achára - 2
acharás - 2
achasse - 1
achassemos - 1
achava - 6
achava-me - 3
achavam - 1
achavamo-nos - 1
achegam - 1
acheguei-me - 1
achei - 21
achei-a - 7
achei-lhe - 2
achei-me - 1
achei-o - 1
aches - 1
achilles - 4
acho - 8
acho-lhe - 1
achou - 13
acima - 3
acolá - 1
acolheu - 1
acolhia - 1
acommodava-se - 1
acompanhada - 2
acompanhado - 3
acompanharam - 1
acompanhava-me - 2
acompanhava-os - 1
acompanhei - 2
acompanhou - 1
aconcheava - 1
aconselha - 1
aconselhar - 1
aconteça - 1
acontece - 1
acontecer - 4
acontecerá - 1
aconteceu - 6
aconteceu-me - 2
acontecia - 2
acontecimentos - 2
acordamos - 1
acordei - 2
acotovellar - 1
acquiescencia - 1
acredita-me - 1
acreditasse - 1
acreditou - 1
acrescentarei - 1
acrescentava - 1
acrescentou - 1
act - 1
activa-as - 1
active - 2
actividade - 1
acto - 9
actores - 1
actos - 1
actual - 5
acudi - 1
acudindo - 1
acudir - 2
acudisse - 1
acudiu - 5
açular - 1
adão - 6
addition - 1
additional - 3
additions - 1
address - 1
addresses - 1
adeante - 6
adeantemos - 1
adejava - 1
ademanes - 2
adequada - 2
adequado - 1
adequados - 1
adestrado - 1
adeus - 15
adiantado - 1
adiantando-lhe - 1
adiante - 2
adiantou-se - 2
adivinha - 2
adivinhaes - 1
adivinhar - 2
adivinhára - 1
adivinhava - 1
adivinhe - 2
adivinhem - 1
adivinhou-mo - 1
adjectivo - 4
administração - 1
administrativo - 1
admira - 3
admiração - 6
admirações - 2
admirada - 2
admiraria - 1
admirava - 2
admirava-lhe - 1
admiráveis - 1
admiro - 1
admirou - 1
admirou-me - 1
admissão - 1
admittia - 1
admittir-me - 1
admoestação - 1
adocicado - 1
adoecendo - 1
adoecer - 1
adoecera - 1
adoeceu - 1
adoeci - 2
adolescencia - 1
adopção - 1
adoptada - 1
adoptam - 1
adoptar - 1
adoptei - 1
adorar-se - 1
adorasse - 1
adorava - 1
adorava-me - 1
adoravel - 1
adormece - 1
adormecer - 1
adquirir - 2
adulação - 1
adulado - 1
adulava-o - 1
adulta - 1
adventicia - 1
adverbio - 2
adversario - 1
advertencia - 1
adverti - 4
advertir - 1
advertirmos - 1
advirta - 1
advogado - 1
aerea - 1
afastando-me - 2
afastar-me - 2
afastei-me - 2
afastou-se - 2
affabilidade - 1
affaga - 1
affaga-se - 1
affago - 2
affagos - 2
affagou-me - 1
affaveis - 1
affavel - 1
affectação - 2
affectando - 1
affecto - 1
affectos - 3
affectuosamente - 1
affectuosas - 1
affeição - 8
affeiçoados - 1
affeiçoei-me - 1
affeições - 1
affinco - 1
affinidade - 1
affinidades - 1
affirma - 1
affirmação - 1
affirmam - 1
affirmando - 1
affirmo - 3
affirmo-lhes - 1
afflicção - 2
afflicções - 2
afflicta - 4
afflictivo - 2
affligia-me - 1
afiado - 2
afiançar - 1
afiançava - 1
afiancei - 1
afiançou - 1
afiando - 1
afiava - 1
afigurou-se-me - 1
afilha - 1
afim - 3
afinal - 6
afortunado - 1
afoutos - 1
africa - 2
africanas - 1
africano - 2
africanos - 1
afrouxa - 1
against - 1
agarrado - 1
agarrar - 2
agarrar-me - 2
agarrei-a - 1
agarrei-me - 1
agastada - 1
agastado - 1
agent - 1
aggravando - 1
aggregada - 2
aggressão - 1
agil - 1
agitação - 2
agitações - 3
