---------- LEXICON ----------

Tipo de dicionário: AVL
Número de palavras: 12819
Tempo de execução: 113 ms
Quantidade de comparações: 2748105
Quantidade de rotações: 9362


Palaras ordenadas:

a - 3071
á - 556
aba - 3
abafadas - 3
abafados - 1
abafando - 5
abafar-lhe - 1
abafava - 1
abafe-se - 1
abaixando - 2
abaixando-se - 1
abaixaram-se - 1
abaixo - 8
abaixou - 3
abaixou-se - 1
abalando - 1
abalaram - 1
abalava - 1
abalo - 1
abalou - 2
abanando-se - 1
abanar - 1
abandonada - 3
abandonadas - 1
abandonado - 1
abandonal-a - 1
abandonando-se - 1
abandonar - 2
abandonara - 2
abandonaram - 2
abandonaram-se - 1
abandonasse - 1
abandonava - 1
abandonavam - 2
abandono - 5
abandonou - 4
abarcal-o - 1
abas - 2
abastado - 1
abateu - 1
abatida - 2
abatidos - 1
abdicado - 1
abelhas - 1
abençoadas - 1
abençoado - 2
abençoando - 1
abençoava - 1
abençoou - 1
aberta - 10
abertamente - 1
abertas - 6
abertos - 6
abide - 1
abjecções - 1
abjecto - 1
abobada - 1
abobadadas - 1
abobora - 1
aboletado - 1
aboletados - 1
abolicionista - 1
abolicionistas - 1
abolio - 1
aborrecer - 1
aborrecida - 3
aborrecidas - 1
aborrecido - 4
aborrecimento - 3
aborto - 1
about - 8
abraçado - 4
abraçados - 1
abraçando - 1
abraçando-se - 1
abraçar-se - 1
abraçaram-se - 2
abraçava - 1
abracem-se - 1
abraço - 4
abraços - 4
abraçou-a - 1
abraçou-lhe - 1
abraçou-se - 2
abrangia - 1
abrasileirou-se - 2
abrazadas - 1
abrazados - 1
abre - 4
abria - 3
abria-lhe - 1
abriam-se - 2
abrideira - 1
abril - 3
abrindo - 5
abrio - 13
abrio-a - 2
abrio-lhe - 1
abrio-se - 3
abrir - 13
abrir-lhe - 1
abrir-se - 2
abrira - 2
abriram-se - 2
abrirei - 1
abrires - 1
abriria - 1
abrissem - 1
abro - 2
absolutamente - 2
absoluto - 1
abstração - 1
abstracto - 4
abundancia - 1
abundante - 1
abusam - 1
abusava - 1
abusavam - 1
abusos - 1
abutre - 3
abysmos - 1
acaba - 3
acabado - 6
acabam - 1
acabar - 3
acabaram - 2
acabaria - 1
acabasse - 1
acabassem - 1
acabava - 18
acabavam - 1
acabem - 1
acabou - 5
acabou-se - 4
acabrunhada - 1
acabrunhava-a - 1
academia - 1
acalentando - 1
acalmal-o - 1
acanalhado - 1
acanalhava - 1
acanhado - 1
acanhamento - 2
acanhamentos - 1
acariciando-o - 1
acarinhar-lhe - 1
acarinhavam - 1
acarinhou-o - 1
acaso - 3
acatamento - 1
acautelasse - 1
acceita - 2
acceitar - 1
acceitaram - 1
acceitasse - 2
acceitava - 1
accelerados - 1
accendendo - 2
accender - 1
accendeu - 6
accendeu-se - 1
accendia - 3
accendido - 1
accentuado - 1
